Missing Reports,Missing Forms,Validation Checklist,Missing Plans,Missing Details,Missing Drawings,Incorrect Fee - Underpayment,Incorrect Fee - Other,Other
"EMPLO - The application must be accompanied by a Loss of Employment Land Assessment, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,Please amend the red line on the location plan to include the entire site along the property boundaries.
"CONTAM - The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
TREE - A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,"The submitted plans are inadequate. Please provide full elevational drawings of the proposed works. Taking a look at drawing number 01 Annex, this is annotated as 'existing' please can this be corrected",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,Please amend the proposed site plan to two storey side extension.,,,,,Please can you confirm the location plan submitted is correct as the red line boundary seems to encompass part of the neighbouring property. Please submit a new location plan if this is incorrect.
"HERI - The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/heritage assessment",Detailed highway drawings/information to demonstrate how the development will comply with the requirements of the highways officer (please see highways comments in the Highway section of above),,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",The application form - Question residential floor space has been completed as no yet the application is for 8no. dwellings this should be reflected in the proposal,,"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
TREE - A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,"A scale bar must be included on all plans submitted, new plans submitted are missing this scale bar outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/",,"Please clarify the plans/proposal. The floor plans and site plan indicate that there will be a two storey side or an infill extension. However, the existing elevations indicate that the property is directly adjoined to 13 Bristol Street.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",We require a VU City 3D model as per the validation check list  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/vu-city-3d-model/,,"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,We require an existing first floor scaled plan
U0014136 - Please provide a statement addressing the loss of the community facility.,"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",,U0014112 - Please amend the site plan to include the proposed access to the property.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"U0014137 - Please provide a preliminary bat roost assessment and, if the building is shown to have a low or greater potential for bats, activity surveys","Invalid address - Application from   We have found a discrepancy in the address provided on your application from.  The address was entered as "" 19, willin industrial estate , salford, M50 2XS""   However the location plan you have provided shows the below address on our system as ""Unit 19, Willan Industrial Estate, Vere Street M50 2GR""   Please can the address be checked and a new application form submitted.",,"U0014159 - Details of proposed boundary treatments (including elevation plans, these should be also clearly shown on a site plan)",,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, The current plan excludes the main dwelling and detached building, in addition the street curb is not selected within the boundary, please provide an amended plan."
"U0014139 - Please provide a phase 1 Preliminary Risk Assessment (PRA) report, including a site walk over","Application form question - All Types of Development: Non-Residential Floorspace. Has been answered as NO, However the application is for change of use, please can this be amended",,U0014193 - Please plot the new access to the property on the proposed site plan.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/","After reviewing the location plan provided, you appear to have put a redline around the wrong property. Your application form records the site address as 252 Chorley Road, SWINTON, MANCHESTER, M27 6UN. Please confirm and amend accordingly.",,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/","Application form - Biodiversity net gain - The exemption reason is incorrect, please amend.",,All Elevations in metric with Scale Bar,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan."
U0014155 - Please provide an arboricultural impact assessment.,Your Application form has been incorrectly completed and is showing the creation of 5 residential units. You have selected a self-build/custom build which is also incorrect. A 2 bedroom dwelling via the extension to the basement is proposed according to the plans submitted. Please confirm and amend your application form accordingly,,"Please confirm if the proposed works include any landscaping works. If it is included, please submit proposed site plans and confirm that it needs to be included in the proposal.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
U0014156 - Please provide arboricultural method statement.,A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,"Please submit scaled proposed elevation drawings for all the static and trailer caravans, as well as amenity/ancillary buildings.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"U0014157 - A Preliminary Risk Assessment (PRA) report, including a conceptual model and a site walk over, and a site investigation if necessary",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"HERI - The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/heritage assessment",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,Please provide and elevation plan or a brochure that details the dimensions and specification of the new gate in metric and PDF format,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
TREE - A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",,"Please include a scale bar to all plans, some site/elevation/floor plans do not have them.",,,,,Clean copy of the location plan required
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Please submit the BNG calculation tool in excel format.,,"Please clarify if that there is no changes to the existing elevations apart from the brick type. If not, please provide existing elevations.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"CONTAM - The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",You are required to submit a Northwest SUDs Pro forma.,,"We require scale floor layouts to show the provision of adequate natural light to habitable rooms. Design details, floor plans, windows, doors and walls must be submitted as part of the application from the 1st August.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Please not that signage cannot be applied for on this type of application. You can find further information on www.planningportal.co.uk on whether advertisement consent is required. You can also apply on the same site.,,Please submit scaled existing and proposed elevation plans in PDF-format and metric.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"DESIGN - A Design and Access Statement in support of your application,as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","Please confirm the external floor space in metric and submit a VU City Model if applicable as the below: Local information requirements: VU City 3D model Types of application that require this information All major new build applications of 50 dwellings or more; or 2,500 square metres of gross external floorspace or more. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/vu-city-3d-model/",,The submitted plans are inadequate. Please provide full elevational drawings and floor plans of the proposed and existing works.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"CONTAM - The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/","The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",You are required to submit a Northwest SUDs Pro forma.,,"Please submit proposed floor plans (scaled, in metric, PDF).",,,,,Please provide existing and proposed roof plans.
TREE - A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,"Please confirm the site address is Land at Tully Street South, Salford and amend the application form to reflect this.",,"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
TRAN - A Transport Assessment is required to accompany the application. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm,"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",,We require plans to scale showing the proposed elevations,,,,,The submitted proposed roof plan is missing. Reviewing the plans there seems to be a lantern style skylight.
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",You are required to submit a Northwest SUDs Pro forma.,,"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
U0013758 - Please provide an energy statement and evaluation.,"Within the application form (condition of trees) you have ticked yes, therefore you are required to provide written technical evidence from an appropriate expert as stated on the application form.",,Please provide the proposed site plan with landscaping with the full site area included. The current one cuts off a part of the area.,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan."
U0013759 - Please provide a flood risk assessment (including sequential assessment),On the application form you have put yourself as both the applicant and the agent. The applicant should be the person(s) applying for the works and yourself as the agent. Please amend the application form on the planning portal to include the applicants details.,,"Please review and amend the 1st, 2nd and 3rd floor plans. They appear to have the same apt numbers and we are unsure if they are supposed to be identical.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/","It appears that the trees location address as specified on the application form is incorrect. The Ash tree appears to be located at 8 Bridgefoot Close, Boothstown, M28 1UG. This will need clarifying and amending on the application form if necessary.",,"We also require a. The proposal must include the storage containers (how many) please confirm via email to planning.contact@salford.gov.uk b. The proposed site plan does not show how many car parking spaces, proposed storage containers, it is also annotated as ""potential secondary access/aggress route"". You must submit plans that represent the exact proposal you are applying for, if you wish to include this in the application then the location plan / proposed site plan requires amending c. Elevation scaled plans must be submitted showing all elevations and sizes of the proposed storage containers",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",On the application form you have put yourself as both the applicant and the agent. The applicant should be the person(s) applying for the works and yourself as the agent. Please amend the application form on the planning portal and include the applicants details under applicant.,,"Good Morning Paul Thank you for the attachments , now we have a clear scaled plan of the site I have changed the proposal to read   Temporary vehicle parking area and siting of 5 container storage units required for a period up to 24 months.   Can you confirm you are in agreement with the changes   Also we require scaled plan showing all elevations of the container units   The application will remain invalid until the above is received",,,,,The submitted proposed roof plan is missing. Reviewing the plans there seems to be a skylight above the proposed dormer
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,"Can you please amend the application form, add yourself as the agent and add also the applicants details under applicant.",,"The existing site plan includes a blue line around the car park adjacent to the site area. If this area is in the same ownership, please include the blue line to the location plans submitted.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
The application site is within a Coal Mining Development Referral Area as such a Coal Mining Risk Assessment must accompany this application. Further information on what information should be contained within a Coal Mining Risk Assessment and who can prepare one including further advice relating to coal mining in Salford can be found athttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/coal-mining-risk-assessment/,Can you please confirm the location of the tree. There is a protected Oak tree in the rear garden of the adjacent property 154 The Green. If the tree is at 154 The Green you will need to amend the location on the application form on the planning portal.,,The floor plan provided is insufficient as we need to know which part will be changing and what will be staying as offices. Please provide an updated floor plan showing the full ground floor and the entire buildings footprint.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"Although a full land contamination report is not required for this proposal, a supporting statement is required giving full details of the intended use i.e. allotment, grassed garden area, flower bed. This is to ascertain whether the proposal requires a more in depth contaminated land survey report.",On the application form you have put yourself as both the applicant and the agent. The applicant should be the person(s) applying for the works and yourself as the agent. Please amend the application form and re submit on the planning portal.,,"Good Morning Lucy I have gone through the new submitted planning application and unfortunately it is still invalid Need to update drawing AS01 as - The red line on the location plan does not include all of the existing building e.g. the canopy or the area where the proposed extension and extended patio area will be located. It also appears to include an element that doesn?t exist on site; this is shaded in grey. The site plan at 1:500 does not show all of the existing building e.g. the canopy or the area where the proposed extension and extended patio area will be located. It also appears to include an element that doesn?t exist on site; this is shaded in grey. When updating please ensure that the red and blue lines are solid and not dashed. The existing plans need to be reviewed and updates submitted ? the elevation plan, drawing AS03, is missing a side elevation and the front and rear elevation are incomplete, with the existing floorplans not showing the canopy area to the front of the building. There are also inconstancies across the existing plans with the drawings not correlating with each other in terms of extent of the building and its fenestration details; see NTs edit combined existing plans. The proposed plans need to be reviewed and updates submitted, with the floorplans not showing the exising canopy to the front of the building and there being inconsitencies arcoss the propsoed plans in terms of extent of the building and its fenestration details; see NTs edit-combined proposed plans.",,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,"You have put yourself as the applicant. Please amend the application form so that you are the agent, include the councils address. Then include the applicants details under applicant (name and address).",,The site area in the existing site plan and proposed site plan is different. Please review and amend accordingly.,,,,,Can you please confirm via email that the proposed works is for both addresses at 108 and 110 Littleton Road
Please provide a planning statement justifying the proposed development against the Local Plan policies and NPPF (especially against Green Belt policies) including photos of the site.,The site address on the application form refers to 35 Chatsworth Road and the sketch plan to 15 Chatsworth Road. Please amend to the correct address.,,The submitted plans are inadequate. Please provide existing side elevations.,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Report, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/","The extent of the proposed work for ^IN; is not specific enough to validate the application. The proposal should specify the intended height and spread of the tree that will remain after pruning, or in the case of proposed thinning, the percentage amount by which you wish to thin. Please see the attached guidance note for your information.",,A detailed existing site plan is required at a scale of 1:200 or 1:500,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/","The extent of the proposed work for ^IN; is not specific enough to validate the application. The proposal should specify the intended height and spread of the tree that will remain after pruning, or in the case of proposed thinning, the percentage amount by which you wish to thin. Please see the attached guidance note for your information.",,Please submit all proposed elevation plans in the context of the existing building where the proposed works are visible.,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan."
