Invalid Reason Details,Planning Application: Application Type
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL to planning.contact@salford.gov.uk , that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL to planning.contact@salford.gov.uk , that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please provide a scale bar on the existing plans.,Householder planning permission
"The site layout plan should be at a standard scale. For example, 1:200 or 1:500 and, as a minimum, should include: A north arrow; The proposed development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries; and The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site; Details of any proposed boundary treatments and hard surfacing; Any public rights of way which may cross or run adjacent to the site; Parking and access arrangements.",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,Householder planning permission
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"The floor plan within document called 'Kerb D ? rop.pdf' doesn't scale at 1:50, please review and update.",Householder planning permission
Please submit a location plan that shows the dropped kerb area.,Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Householder planning permission
"The application form needs to have only one set of lead applicants listed. If they are also the owners of both properties, then certificate A is the correct one to sign. If not, certificate B needs to be signed by the lead applicants and notice served to the the owners of the other property.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
Please telephone 0161 779 6195 to pay the outstanding fee £206.00.,Householder planning permission
Please provide existing and proposed elevations/sectional drawings for both sides.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings as rear elevation plans are missing.,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings to scale for all sides of the property for both existing and proposed works.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The plans submitted are in Jpeg format, we are unable to upload these documents into the back office system, please resend as PDF",Householder planning permission
"We require existing and proposed elevations plans in metric, to scale and in PDF format with a scale bar. Please ensure they are not skewed. Please see https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/ for requirements.",Householder planning permission
"The floor plans are skewed, please ensure that you send us plans that are to scale.",Householder planning permission
"Please submit existing floor plans to scale, in metric, PDF-format and with a scale bar.",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
Please submit existing and proposed elevation plans for the other side elevation.,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey as a result of being in a bat consultation zone, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uklplanning-building-and-regeneration/planning- applications/apply-for-planning-permission/validation-checklistllocal-information- requirements/biodiversity-survey-and-reportsl",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/heritage assessment.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"the location plan provided is incorrect. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
We require proposed and existing elevation plans which must be to scale and include a scale bar.,Householder planning permission
Please confirm the height of the proposed gates.,Householder planning permission
The proposed elevation drawing does not have a scale bar.,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
We require elevation plans to scale of the proposed wall erected and the overall height in metric.,Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
The submitted fee is insufficient. Please forward a further £251.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
The Application form submitted is incorrect as you have signed Certificate of Ownership - A Please submit a new application form and sign Certificate B.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The site plan should include: The proposed development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries. Please provide another site plan. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
Please provide a scale bar on the location/site plans.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan. Looking the plan provided it doesn't seem to correctly follow the boundary of the site. Alternatively can you confirm if the missing section at the rear and added section front is correct",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The 1.1250 location plan submitted seems to be incorrect, Please can you confirm that you own the additional area to the rear? We have also noted on the west side there seems to be a difference with regard to the boundary line as seen in the images provided. Please provide an amended plan with the correct redline attached or confirmation that the current provided location plan is correct",Householder planning permission
The provided application may need to be submitted as a FUL application. Please can you confirm if the proposed is to be used as an auxiliary to the main dwelling?,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please can you clarify if the extension above the garage is to create a new dwelling or is it an extension to the existing property.,Householder planning permission
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
The submitted fee is insufficient. Please forward a further £65.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
Roof plans to accompany this application to better see the impact of the proposed within the roof space,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings & floor plans of the existing & proposed works.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm  Or go the Environment Agency web page - https://www.gov.uk/guidance/flood-risk-assessment-standing-advice",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The plans submitted are in Jpeg format, we are unable to upload these documents into the back office system, please resend as PDF",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Householder planning permission
"We require scaled plans in metric and PDF format showing the existing and proposed floor layouts and correctly annotated - A scale bar must be included on all plans submitted and plans annotated correctly,",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist, Alternatively, a Bat Survey can be provided to supplement this requirement. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
Please can existing and proposed roof plans be provided as to fully see what changes are being made to the roof space/loft space,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. A tree survey was named on your application form, but has not been provided. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/",Householder planning permission
"The submitted site plan is inadequate, we need a site plan with the dropped kerb clearly plotted and full elevations for this.",Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan Or alternatively confirm that you own that bit of pavement in front of the house",Householder planning permission
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"Hi Bernard further to my previous email this morning I also do not have any elevations of the proposed 2m high fence to be erected This will have to be shown within the proposal, which I will get back to you on once I~ have received the above and the details proposed site plan",Householder planning permission
"Plans needed for the proposed fence be submitted , Please provide full elevational drawings of the existing and proposed works.",Householder planning permission
